"k","train=90","train=80","train=70"
1,0.459770114942529,0.325670498084291,0.446998722860792
2,0.421455938697318,0.354406130268199,0.434227330779055
3,0.421455938697318,0.354406130268199,0.395913154533844
4,0.383141762452107,0.363984674329502,0.421455938697318
5,0.363984674329502,0.316091954022989,0.376756066411239
6,0.363984674329502,0.306513409961686,0.363984674329502
7,0.344827586206897,0.258620689655172,0.37037037037037
8,0.363984674329502,0.258620689655172,0.344827586206897
9,0.325670498084291,0.296934865900383,0.357598978288633
10,0.383141762452107,0.229885057471264,0.344827586206897
11,0.344827586206897,0.28735632183908,0.293742017879949
12,0.383141762452107,0.24904214559387,0.33205619412516
13,0.383141762452107,0.258620689655172,0.344827586206897
14,0.363984674329502,0.229885057471264,0.338441890166028
15,0.363984674329502,0.220306513409962,0.363984674329502
16,0.325670498084291,0.258620689655172,0.389527458492976
17,0.28735632183908,0.268199233716475,0.363984674329502
18,0.325670498084291,0.277777777777778,0.402298850574713
19,0.268199233716475,0.268199233716475,0.383141762452107
20,0.344827586206897,0.316091954022989,0.408684546615581
